areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2021-02-28,257,128013
nation,England,E92000001,2021-02-27,265,127756
nation,England,E92000001,2021-02-26,262,127491
nation,England,E92000001,2021-02-25,308,127229
nation,England,E92000001,2021-02-24,317,126921
nation,England,E92000001,2021-02-23,336,126604
nation,England,E92000001,2021-02-22,325,126268
nation,England,E92000001,2021-02-21,355,125943
nation,England,E92000001,2021-02-20,388,125588
nation,England,E92000001,2021-02-19,390,125200
nation,England,E92000001,2021-02-18,454,124810
nation,England,E92000001,2021-02-17,438,124356
nation,England,E92000001,2021-02-16,501,123918
nation,England,E92000001,2021-02-15,549,123417
nation,England,E92000001,2021-02-14,520,122868
nation,England,E92000001,2021-02-13,512,122348
nation,England,E92000001,2021-02-12,546,121836
nation,England,E92000001,2021-02-11,590,121290
nation,England,E92000001,2021-02-10,629,120700
nation,England,E92000001,2021-02-09,628,120071
nation,England,E92000001,2021-02-08,702,119443
nation,England,E92000001,2021-02-07,665,118741
nation,England,E92000001,2021-02-06,686,118076
nation,England,E92000001,2021-02-05,771,117390
nation,England,E92000001,2021-02-04,735,116619
nation,England,E92000001,2021-02-03,872,115884
nation,England,E92000001,2021-02-02,854,115012
nation,England,E92000001,2021-02-01,893,114158
nation,England,E92000001,2021-01-31,899,113265
nation,England,E92000001,2021-01-30,924,112366
nation,England,E92000001,2021-01-29,1008,111442
nation,England,E92000001,2021-01-28,1110,110434
nation,England,E92000001,2021-01-27,1108,109324
nation,England,E92000001,2021-01-26,1046,108216
nation,England,E92000001,2021-01-25,1150,107170
nation,England,E92000001,2021-01-24,1086,106020
nation,England,E92000001,2021-01-23,1148,104934
nation,England,E92000001,2021-01-22,1189,103786
nation,England,E92000001,2021-01-21,1204,102597
nation,England,E92000001,2021-01-20,1237,101393
nation,England,E92000001,2021-01-19,1328,100156
nation,England,E92000001,2021-01-18,1242,98828
nation,England,E92000001,2021-01-17,1229,97586
nation,England,E92000001,2021-01-16,1241,96357
nation,England,E92000001,2021-01-15,1162,95116
nation,England,E92000001,2021-01-14,1167,93954
nation,England,E92000001,2021-01-13,1161,92787
nation,England,E92000001,2021-01-12,1173,91626
nation,England,E92000001,2021-01-11,1076,90453
