,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,areaName,dailyCases,cumulativeCases,population
322,2021-02-18,2316.0,373128,15633.0,1149,England,10303,3669621,"56,536,419"
323,2021-02-19,2251.0,374196,15018.0,1068,England,9246,3678867,"56,536,419"
324,2021-02-20,2142.0,375100,14316.0,904,England,7161,3686028,"56,536,419"
325,2021-02-21,2122.0,376108,14142.0,1008,England,7033,3693061,"56,536,419"
326,2021-02-22,2072.0,377088,14137.0,980,England,10279,3703340,"56,536,419"
327,2021-02-23,1950.0,378064,13489.0,976,England,8536,3711876,"56,536,419"
328,2021-02-24,1931.0,378938,13007.0,874,England,7621,3719497,"56,536,419"
329,2021-02-25,1866.0,379770,12449.0,832,England,6934,3726431,"56,536,419"
330,2021-02-26,1808.0,380488,11781.0,718,England,5883,3732314,"56,536,419"
331,2021-02-27,1747.0,381112,11090.0,624,England,4254,3736568,"56,536,419"
332,2021-02-28,1630.0,381774,10663.0,662,England,4112,3740680,"56,536,419"
333,2021-03-01,1658.0,382478,10765.0,704,England,6215,3746895,"56,536,419"
334,2021-03-02,1556.0,383161,10121.0,683,England,5950,3752845,"56,536,419"
335,2021-03-03,1507.0,383768,9594.0,607,England,5305,3758150,"56,536,419"
336,2021-03-04,1454.0,384364,9092.0,596,England,5011,3763161,"56,536,419"
337,2021-03-05,1417.0,384851,8594.0,487,England,4728,3767889,"56,536,419"
338,2021-03-06,1326.0,385379,8021.0,528,England,3832,3771721,"56,536,419"
339,2021-03-07,1273.0,385840,7812.0,461,England,3677,3775398,"56,536,419"
340,2021-03-08,1236.0,386341,7847.0,501,England,5818,3781216,"56,536,419"
341,2021-03-09,1187.0,386824,7451.0,483,England,5488,3786704,"56,536,419"
342,2021-03-10,1137.0,387318,6975.0,494,England,5222,3791926,"56,536,419"
